subject_id,exp_dur,assessment_val,interest_val,assessment_dur,interest_dur
500696096,0:40:01,3,5,17466,1686
500696096,0:40:01,4,5,9605,2494
500696096,0:40:01,3,5,14259,2923
500696096,0:40:01,4,5,3470,2655
500696096,0:40:01,5,5,2721,2478
500696096,0:40:01,3,3,3670,4677
500696096,0:40:01,3,5,9970,1938
500696096,0:40:01,5,5,8246,5777
500696096,0:35:01,4,4,3245,2522
500696096,0:35:01,5,5,12437,7320
500696096,0:35:01,4,4,2903,6826
500696096,0:35:01,3,3,3010,4242
500696096,0:35:01,4,5,2099,3330
500696096,0:35:01,5,5,1035,2377
500696096,0:35:01,5,5,1158,2288
500696096,0:35:01,5,5,1151,2188
500696096,0:35:01,5,5,18450,2943
500696096,0:35:01,4,5,15890,3697
500696096,0:35:01,5,5,1169,1299
500696096,0:35:01,5,5,942,3171
500696096,0:35:01,4,5,2353,1637
794070793,0:40:01,5,5,5294,6809
794070793,0:40:01,5,5,1441,4723
794070793,0:40:01,5,5,1499,4834
794070793,0:40:01,5,5,1697,2618
794070793,0:40:01,5,5,1051,3768
794070793,0:40:01,5,5,1203,2931
794070793,0:40:01,5,5,869,3510
794070793,0:40:01,5,4,916,9563
794070793,0:40:01,5,4,1443,6288
794070793,0:40:01,5,3,6130,3452
794070793,0:40:01,5,4,1501,9134
794070793,0:40:01,5,5,1230,5568
794070793,0:40:01,5,4,1444,6962
794070793,0:40:01,5,5,4598,6899
794070793,0:40:01,5,5,859,2105
794070793,0:35:01,5,5,1087,7207
794070793,0:35:01,5,5,1667,3828
794070793,0:35:01,5,5,1196,3677
794070793,0:35:01,5,5,845,3567
794070793,0:35:01,5,5,577,4109
794070793,0:35:01,5,5,927,3406
794070793,0:35:01,5,5,1305,3813
794070793,0:35:01,5,5,713,4265
794070793,0:35:01,5,5,1042,4046
794070793,0:35:01,5,5,724,6154
794070793,0:35:01,5,5,739,2991
794070793,0:35:01,5,5,6816,4002
794070793,0:35:01,2,4,3626,6275
782091074,0:55:21,4,5,2758,5125
782091074,0:55:21,5,5,1592,3249
782091074,0:55:21,1,5,2401,4357
782091074,0:55:21,4,5,2268,2697
782091074,0:55:21,4,5,1864,4435
782091074,0:55:21,4,5,2051,3621
782091074,0:55:21,4,4,3027,9451
782091074,0:55:21,4,5,2026,4477
782091074,0:55:21,4,4,2321,4013
782091074,0:55:21,4,5,2268,10094
782091074,0:55:21,5,5,2030,8768
782091074,0:55:21,5,5,3230,4445
782091074,0:55:21,4,5,4948,2511
782091074,0:55:21,5,5,1186,3615
782091074,0:55:21,4,4,2294,18599
782091074,0:55:21,4,4,1373,3207
782091074,0:55:21,4,5,2027,15328
782091074,0:55:21,4,5,1427,3266
782091074,0:55:21,3,5,2763,3149
782091074,0:55:21,3,3,3318,3719
782091074,0:35:01,2,5,1991,3417
782091074,0:35:01,2,5,1241,2843
782091074,0:35:01,3,5,1344,3092
782091074,0:35:01,5,5,1550,3549
782091074,0:35:01,4,5,3260,11082
782091074,0:35:01,2,2,2331,5830
782091074,0:35:01,4,4,1467,3587
782091074,0:35:01,3,4,1954,4347
782091074,0:35:01,4,4,1638,3717
782091074,0:35:01,4,4,1618,3652
782091074,0:35:01,4,4,1385,3718
782091074,0:35:01,4,4,1204,3556
504426078,0:40:01,4,5,3519,4079
504426078,0:40:01,4,5,1897,2573
504426078,0:40:01,4,5,2523,2805
504426078,0:40:01,4,5,2305,3680
504426078,0:40:01,4,5,1506,3135
504426078,0:40:01,4,5,2133,2981
504426078,0:40:01,4,5,2364,3455
504426078,0:40:01,4,5,2202,3246
504426078,0:40:01,4,5,2218,3605
504426078,0:40:01,4,5,1364,3072
504426078,0:40:01,4,5,1514,3260
504426078,0:40:01,4,5,1288,3056
504426078,0:40:01,4,5,1320,2658
504426078,0:40:01,4,5,1612,2897
504426078,0:40:01,4,5,2391,3033
504426078,0:35:01,4,5,1176,2742
504426078,0:35:01,4,5,1338,3074
504426078,0:35:01,4,5,1457,3512
504426078,0:35:01,4,5,1788,2745
504426078,0:35:01,4,5,1881,3153
504426078,0:35:01,4,5,1940,3151
504426078,0:35:01,4,5,1467,3052
504426078,0:35:01,4,5,1353,2710
504426078,0:35:01,4,5,2013,3469
